 Radius(m)   Te(eV)        +dTe         -dTe       Ne(cm^-3)      +dNe         -dNe
 0.449398 9.675870E+01 4.998680E+00 4.800461E+00 3.418973E+12 3.718442E+11 3.571657E+11
 0.448169 9.864482E+01 5.126966E+00 4.909189E+00 3.500703E+12 3.801538E+11 3.649680E+11
 0.446941 1.018392E+02 5.291608E+00 5.081976E+00 3.587103E+12 3.886332E+11 3.730043E+11
 0.445712 1.041979E+02 5.468686E+00 5.235037E+00 3.693081E+12 3.993592E+11 3.831177E+11
 0.444484 1.070827E+02 5.643595E+00 5.473884E+00 3.871789E+12 4.180726E+11 4.002818E+11
 0.443255 1.089833E+02 5.891662E+00 5.687298E+00 4.138141E+12 4.471904E+11 4.273055E+11
 0.442026 1.092051E+02 5.993657E+00 5.793497E+00 4.296736E+12 4.653077E+11 4.434703E+11
 0.440798 1.123517E+02 6.177822E+00 5.931626E+00 4.316869E+12 4.663470E+11 4.451532E+11
 0.439569 1.093276E+02 6.053984E+00 5.846721E+00 4.372251E+12 4.740683E+11 4.515061E+11
 0.438341 1.135392E+02 6.343451E+00 6.126160E+00 4.557876E+12 4.940148E+11 4.700641E+11
 0.437112 1.154190E+02 6.521515E+00 6.279011E+00 4.730000E+12 5.126719E+11 4.874930E+11
 0.435883 1.148105E+02 6.612307E+00 6.361721E+00 4.881621E+12 5.312403E+11 5.044300E+11
 0.434655 1.159668E+02 6.705242E+00 6.473349E+00 4.987825E+12 5.433505E+11 5.156467E+11
 0.433426 1.145411E+02 6.605185E+00 6.352538E+00 4.918326E+12 5.353840E+11 5.082800E+11
 0.432198 1.157926E+02 7.198773E+00 6.936933E+00 5.814622E+12 6.468656E+11 6.082367E+11
 0.430969 1.201007E+02 7.531236E+00 7.256524E+00 6.015922E+12 6.703124E+11 6.297791E+11
 0.429740 1.201815E+02 7.445658E+00 7.163544E+00 5.860383E+12 6.496562E+11 6.120435E+11
 0.428512 1.223174E+02 7.513769E+00 7.241006E+00 5.802640E+12 6.417733E+11 6.040364E+11
 0.427283 1.221210E+02 7.290939E+00 6.998042E+00 5.417405E+12 5.934303E+11 5.608954E+11
 0.426055 1.216756E+02 7.170950E+00 6.870731E+00 5.276692E+12 5.757846E+11 5.456553E+11
 0.424826 1.234388E+02 7.339923E+00 7.070999E+00 5.430663E+12 5.942973E+11 5.617734E+11
 0.423597 1.189641E+02 7.196576E+00 6.916723E+00 5.525614E+12 6.083628E+11 5.743361E+11
 0.422369 1.168115E+02 7.245234E+00 6.977279E+00 5.799542E+12 6.445097E+11 6.061385E+11
 0.421140 1.148668E+02 6.860612E+00 6.628452E+00 5.340195E+12 5.872569E+11 5.548730E+11
 0.419912 1.229933E+02 7.599396E+00 7.299116E+00 5.810439E+12 6.422638E+11 6.054627E+11
 0.418683 1.158721E+02 7.301551E+00 7.006494E+00 5.932022E+12 6.617604E+11 6.226814E+11
 0.417454 1.146853E+02 7.182141E+00 6.922168E+00 5.868664E+12 6.550227E+11 6.154531E+11
 0.416226 1.178329E+02 7.018678E+00 6.763218E+00 5.362332E+12 5.882732E+11 5.560237E+11
 0.414997 1.041678E+02 6.699513E+00 6.442312E+00 5.907369E+12 6.662107E+11 6.248166E+11
 0.413769 1.061602E+02 7.367227E+00 7.116261E+00 6.890064E+12 8.010392E+11 7.435880E+11
 0.412540 1.049144E+02 7.232160E+00 6.952280E+00 6.723269E+12 7.779986E+11 7.240851E+11
 0.411311 1.252594E+02 7.864377E+00 7.579920E+00 6.092047E+12 6.773990E+11 6.364864E+11
 0.410083 1.364788E+02 8.351468E+00 8.029399E+00 5.994742E+12 6.585930E+11 6.201290E+11
 0.408854 1.641658E+02 9.001441E+00 8.633974E+00 5.047573E+12 5.322345E+11 5.073795E+11
 0.407626 1.932540E+02 9.818443E+00 9.387954E+00 4.459962E+12 4.588201E+11 4.411148E+11
 0.406397 2.100000E+02 0.000000E+00 0.000000E+00 6.983253E+12 5.318967E+11 4.943960E+11
 0.405168 2.100000E+02 0.000000E+00 0.000000E+00 5.580864E+12 5.808050E+11 5.447886E+11
 0.403940 2.100000E+02 0.000000E+00 0.000000E+00 5.802813E+12 9.480712E+10 4.649661E+11
 0.402711 1.637770E+02 7.994330E+00 7.698997E+00 3.732523E+12 3.900385E+11 3.758311E+11
 0.401483 2.246968E+01 1.364705E+00 1.300719E+00 1.627574E+12 2.413831E+11 2.258364E+11
 0.400254 1.618644E+01 3.835051E-02 7.782492E-02 1.080000E+13 0.000000E+00 0.000000E+00
